,Date,Open*,High,Low,Close**,Volume,Market Cap
114,"Oct 09, 2016",619.17,619.20,616.61,616.75,"39,243,400","9,815,156,618"
115,"Oct 02, 2016",613.95,614.01,609.68,610.89,"39,249,800","9,713,776,587"
116,"Sep 25, 2016",602.75,603.38,599.71,600.83,"33,977,800","9,546,132,575"
117,"Sep 18, 2016",606.28,610.16,605.86,609.87,"48,679,400","9,682,008,337"
118,"Sep 11, 2016",623.42,628.82,600.51,606.72,"73,610,800","9,624,021,892"
119,"Sep 04, 2016",598.59,611.84,596.85,608.63,"97,942,896","9,646,846,465"
120,"Aug 28, 2016",569.83,574.04,569.74,573.91,"86,301,600","9,089,312,935"
121,"Aug 21, 2016",581.94,584.16,580.22,581.31,"38,299,400","9,199,366,517"
122,"Aug 14, 2016",585.59,585.67,564.78,570.47,"60,851,100","9,020,848,475"
123,"Aug 07, 2016",587.77,597.51,586.82,592.69,"82,398,400","9,364,710,627"
124,"Jul 31, 2016",655.10,655.28,624.36,624.68,"110,818,000","9,861,866,433"
125,"Jul 24, 2016",655.41,663.11,652.79,661.28,"118,184,000","10,432,244,355"
126,"Jul 17, 2016",661.99,682.36,661.99,679.46,"74,407,904","10,711,263,460"
127,"Jul 10, 2016",650.60,652.29,641.26,649.36,"102,532,000","10,229,001,841"
128,"Jul 03, 2016",704.97,704.97,649.01,658.66,"129,512,000","10,360,455,388"
129,"Jun 26, 2016",665.93,665.98,616.93,629.37,"109,225,000","9,883,123,077"
130,"Jun 19, 2016",756.69,766.62,745.63,763.78,"136,184,992","11,974,386,667"
131,"Jun 12, 2016",609.68,684.84,607.04,672.78,"277,084,992","10,529,624,647"
132,"Jun 05, 2016",573.31,582.81,569.18,574.98,"68,874,096","8,983,555,643"
133,"May 29, 2016",527.48,553.96,512.18,526.23,"148,736,992","8,209,050,618"
134,"May 22, 2016",443.22,443.43,439.04,439.32,"39,657,600","6,842,082,300"
135,"May 15, 2016",455.76,458.69,455.46,457.57,"28,514,000","7,114,461,730"
136,"May 08, 2016",458.43,459.42,455.98,458.55,"40,315,000","7,117,822,794"
137,"May 01, 2016",448.48,452.48,447.93,451.88,"40,660,100","7,001,712,750"
138,"Apr 24, 2016",450.56,460.15,448.93,458.55,"68,198,400","7,093,731,211"
139,"Apr 17, 2016",430.64,431.37,426.08,427.40,"52,125,900","6,600,878,376"
140,"Apr 10, 2016",419.59,422.43,419.26,421.56,"73,478,600","6,499,536,744"
141,"Apr 03, 2016",421.17,421.58,419.70,420.90,"38,053,700","6,477,828,309"
142,"Mar 27, 2016",418.14,428.80,417.71,426.77,"71,229,400","6,557,030,843"
143,"Mar 20, 2016",410.40,414.63,410.40,413.76,"45,947,900","6,346,546,570"
144,"Mar 13, 2016",411.65,416.60,411.64,414.07,"74,322,800","6,340,701,565"
145,"Mar 06, 2016",400.52,411.91,395.78,407.71,"91,212,496","6,232,667,872"
146,"Feb 28, 2016",432.57,435.68,423.82,433.50,"53,033,400","6,615,986,322"
